store_id,product_id,brand,brand_confidence,variant_tokens,identity_status,identity_version
29631686,22646290753,Little,lexicon,banana gluten-free strawberry,resolved,v1
29631686,38707312930,Little,lexicon,,resolved,v1
29631686,1000033272212087,Little,lexicon,blueberry organic,resolved,v1
29631686,32505419388,Little,lexicon,mango organic,resolved,v1
29631686,1000030409614572,Little,lexicon,apple banana mango organic,resolved,v1
29631686,1000030409614574,Little,lexicon,apple organic,resolved,v1
29631686,32450927087,Little,lexicon,blueberry organic,resolved,v1
29631686,1000030409614576,Little,lexicon,apple banana strawberry,resolved,v1
29631686,1000030409614568,Little,lexicon,apple banana blueberry,resolved,v1
29631686,1000030409614573,Little,lexicon,apple banana blueberry,resolved,v1
29631686,1000030409614570,Little,lexicon,apple,resolved,v1
29631686,1000030409614567,Little,lexicon,apple mango,resolved,v1
29631686,1000030409614569,Little,lexicon,,resolved,v1
29631686,1000030409614575,Little,lexicon,apple,resolved,v1
29631686,22646290750,Little,lexicon,,resolved,v1
29631686,39545593125,Little,lexicon,,resolved,v1
29631686,38147997940,Little,lexicon,,resolved,v1
29631686,27855124101,Little,lexicon,,resolved,v1
29631686,39722860214,Little,lexicon,,resolved,v1
29631686,38767041365,Little,lexicon,strawberry,resolved,v1
29631686,22646290755,Little,lexicon,,resolved,v1
29631686,1000040076588138,Little,lexicon,,resolved,v1
29631686,1000040076588141,Little,lexicon,,resolved,v1
29631686,1000040076588137,Little,lexicon,,resolved,v1
29631686,1000040076588142,Little,lexicon,,resolved,v1
29631686,1000040076588139,Little,lexicon,,resolved,v1
29631686,1000040076588140,Little,lexicon,,resolved,v1
29631686,1000038340833310,,unknown,,brand_unknown,v1
29631686,1000040076588147,The Halloween Collection,lexicon,,resolved,v1
29631686,1000040076588148,The Halloween Collection,lexicon,,resolved,v1
29631686,1000040076588150,The Halloween Collection,lexicon,orange,resolved,v1
29631686,1000040076588149,The Halloween Collection,lexicon,,resolved,v1
29631686,1000040076588146,The Halloween Collection,lexicon,,resolved,v1
29631686,1000040076588145,The Halloween Collection,lexicon,,resolved,v1
29631686,1000040076588144,The Halloween Collection,lexicon,,resolved,v1
29631686,1000040076588143,The Halloween Collection,lexicon,,resolved,v1
29631686,36240155533,Bake,lexicon,,resolved,v1
29631686,36240155532,Bake,lexicon,chocolate,resolved,v1
29631686,22646327785,Bake,lexicon,cinnamon,resolved,v1
29631686,22646327786,Bake,lexicon,,resolved,v1
29631686,22646305622,Bake Shop,lexicon,,resolved,v1
29631686,1000040608402046,Bake Shop,lexicon,apple,resolved,v1
29631686,1000033406934178,Bake Shop,lexicon,apple,resolved,v1
29631686,22646327522,Bake Shop,lexicon,,resolved,v1
29631686,29660572431,Bake Shop,lexicon,banana,resolved,v1
29631686,22646305665,Bake Shop,lexicon,blueberry,resolved,v1
29631686,22646305659,Bake Shop,lexicon,blueberry,resolved,v1
